问题	答案	标签
基础知识|数字经济影响就业总量的两个主要理论是什么？	资本-劳动替代理论和以任务为基础的理论。	第十三章 基础知识 理论
基础知识|以任务为基础的理论将数字技术对就业的影响分解为哪三种效应？	替代效应（负面）、生产效率效应（正面）和重置效应（正面）。	第十三章 基础知识 理论
基础知识|数字经济影响就业结构的两个主要理论是什么？	技能偏向型技术进步理论和任务偏向型技术进步理论。	第十三章 基础知识 理论
基础知识|什么是就业两极化（或称U型化）？	指在数字经济冲击下，劳动力市场中高技能和低技能的岗位增加，而中等技能的常规性岗位减少的现象。	第十三章 基础知识 概念
基础知识|数字经济引起结构性失业的四个主要原因是什么？	行业替代、技能不匹配、AI与自动化技术替代、数字鸿沟。	第十三章 基础知识 原因
基础知识|数字经济引起收入分配不平等的理论基础是什么？	资本强化理论和技能偏向型技术进步理论。	第十三章 基础知识 理论
基础知识|数字经济时代应对就业和收入分配问题的总体政策方向有哪些？	完善教育与技能培训、完善劳动者权益保障、优化收入再分配政策。	第十三章 基础知识 政策
复习题1|总论：请概述解释数字技术对就业总量影响的理论。	答：主要有两大理论：一是经典的“{{c1::资本-劳动替代理论}}”，认为技术作为资本会替代劳动，导致失业；二是更精细的“{{c2::以任务为基础的理论}}”，它将影响分解为负面的“{{c3::替代效应}}”与正面的“{{c4::生产效率效应}}”和“{{c5::重置效应}}”三者的博弈。	口诀：资本替代岗减少，任务三效定分晓。	第十三章 论述 Cloze 复习题1 口诀 总论
复习题1|分论Ⅰ(资本-劳动替代理论)：请夹叙夹议地阐述“资本-劳动替代理论”。	“叙”：该理论指出，当{{c1::劳动力成本}}相对资本价格上升时，企业会倾向于使用机器（资本）替代工人（劳动）。数字技术，特别是AI，被视为一种“{{c2::资本增强型}}”技术，它极大地提高了资本的生产效率，对劳动形成显著的{{c3::替代优势}}，从而降低劳动力需求，增加失业。
“议”：此理论的警示在于，它揭示了成本驱动下技术替代的{{c4::残酷必然性}}。在市场逻辑中，只要替代的{{c5::经济账}}算得过来，失业就可能发生。这解释了为何“机器换人”在高工资地区尤为普遍，也为政府制定最低工资等政策时提供了{{c6::需要权衡}}的视角。	口诀：成本高，机器到，资本强，人萧条。	第十三章 论述 Cloze 复习题1 口诀 资本-劳动替代理论
复习题1|分论Ⅱ(以任务为基础的理论)：请夹叙夹议地阐述“以任务为基础的理论”中的三种效应。	“叙”：该理论将影响分解为三部分：1. {{c1::替代效应}}：资本完成原先由劳动完成的任务，减少岗位。2. {{c2::生产效率效应}}：自动化降本增效，使整个产业规模扩大，从而增加对其他（未被替代的）劳动力的需求。3. {{c3::重置效应}}：新技术创造出全新的任务和职业，使劳动力重新进入生产环节。
“议”：该理论的精妙之处在于，它从“{{c4::悲观}}”的岗位视角转向了“{{c5::动态}}”的任务视角。它告诉我们，就业的未来并非注定消亡，而是一场{{c6::创造与毁灭的赛跑}}。政策的关键不在于阻止替代，而在于如何通过教育和产业政策，最大限度地激发“{{c7::生产效率和重置}}”这两个正面效应。	口诀：替代减，效率增，重置创，看谁赢。	第十三章 论述 Cloze 复习题1 口诀 以任务为基础的理论
复习题2|总论：请概述解释数字技术对劳动力就业结构影响的理论。	答：主要有两大理论：一是“{{c1::技能偏向型技术进步理论}}”，解释了高、低技能劳动力间的差距拉大；二是“{{c2::任务偏向型技术进步理论}}”，通过区分“常规”与“非常规”任务，更精准地解释了中等技能岗位被侵蚀的“{{c3::就业两极化}}”现象。	口诀：技能分高低，任务分常异。	第十三章 论述 Cloze 复习题2 口诀 总论
复习题2|分论Ⅰ(技能偏向型)：请夹叙夹议地阐述“技能偏向型技术进步理论”。	“叙”：该理论认为，技术进步并非中性的，数字技术尤其偏爱与{{c1::高技能劳动力}}互补，能大幅提升他们的边际产出。因此，它会增加对高技能劳动力的需求，使其{{c2::工资和就业机会}}增加；同时替代或降低对{{c3::低技能劳动力}}的需求，导致其处境恶化。
“议”：这个理论解释了为何受教育程度高的群体在数字时代能获得巨大红利，即“{{c4::知识改变命运}}”的经济学原理。但它的{{c5::局限性}}在于，无法解释为何一些低技能（如服务业）岗位也在增加。它揭示了教育和培训是应对技术冲击、避免沦为“{{c6::被替代者}}”的关键。	口诀：技术爱高技，贫富两分离。	第十三章 论述 Cloze 复习题2 口诀 技能偏向型
复习题2|分论Ⅱ(任务偏向型)：请夹叙夹议地阐述“任务偏向型技术进步理论”。	“叙”：该理论将工作拆分为任务，分为两类：一是易被算法和规则描述的“{{c1::程序化常规任务}}”（如记账、流水线作业）；二是要靠创造力、判断力的“{{c2::非程序化创造性任务}}”（如研发、管理）。自动化技术主要替代前者。
“议”：该理论精准地击中了“{{c3::就业两极化}}”的靶心。因为它解释了为何处于中间的“{{c4::白领和蓝领}}”常规岗位（如文员、技术工人）受冲击最大，而高技能的“{{c5::创造性}}”工作和低技能的“{{c6::服务性}}”（非常规体力）工作得以保留。它启示我们，未来职业的核心竞争力是“{{c7::不可程序化}}”的能力。	口诀：常规被替代，两极分化快。	第十三章 论述 Cloze 复习题2 口诀 任务偏向型
复习题3|总论：数字经济引起失业的原因有哪些？	答：数字经济主要通过四个途径导致结构性失业：{{c1::行业替代}}（创造性破坏）、{{c2::技能不匹配}}（人岗错配）、{{c3::AI与自动化替代}}（直接抢岗）以及{{c4::数字鸿沟}}（机会不均）。	口诀：行技替鸿，失业四重。	第十三章 论述 Cloze 复习题3 口诀 总论
复习题3|分论：请夹叙夹议地阐述“行业替代”和“技能不匹配”两大失业原因。	“叙”：1. {{c1::行业替代}}：数字经济催生新产业（如电商），同时摧毁旧产业（如实体零售），导致旧产业工人失业。2. {{c2::技能不匹配}}：市场需要数据分析、编程等新技能，但许多劳动者仍掌握传统技能，导致其无法胜任新岗位。
“议”：这两点揭示了失业的{{c3::结构性本质}}。问题不在于“没有工作”，而在于“{{c4::有工作但你做不了}}”或“{{c5::你原来的工作没了}}”。这表明，失业救济只是“{{c6::输血}}”，根本在于建立一个能帮助劳动者平滑实现“{{c7::行业转型}}”和“{{c8::技能升级}}”的终身学习体系，这才是“{{c9::造血}}”。	口诀：旧行衰，新技来，学不会，请走开。	第十三章 论述 Cloze 复习题3 口诀 行业与技能
复习题4|总论：数字技术影响收入分配的理论基础是什么？	答：理论基础主要有两个：一是“{{c1::资本强化理论}}”，指出数字技术增强了资本的力量，使其在分配中侵占劳动收入；二是“{{c2::技能偏向型技术进步理论}}”，指出技术进步拉大了高技能与低技能劳动者之间的收入差距。	口诀：资本更强，高技更香。	第十三章 论述 Cloze 复习题4 口诀 总论
复习题4|分论：请夹叙夹议地阐述“资本强化理论”如何解释收入不平等。	“叙”：该理论认为，以AI为代表的数字技术是{{c1::资本密集型}}和{{c2::资本偏向}}的。企业投资AI，旨在提高生产率、节约劳动成本，这使得资本所有者（股东、投资人）获得了{{c3::更大的相对剩余价值}}，而普通劳动者的工资增长则{{c4::落后于}}劳动生产率的增长。
“议”：这个理论直指问题的核心：数字经济的{{c5::蛋糕虽然做大了}}，但分蛋糕的刀越来越偏向{{c6::资本一方}}。它解释了为何科技巨头能创造惊人财富，而社会平均工资却停滞不前。这警示我们，若无有效的{{c7::再分配机制}}（如税收、劳资谈判），技术进步可能自动加剧“{{c8::富者愈富，劳者愈贫}}”的马太效应。	口诀：技术为资本，分钱更有本。	第十三章 论述 Cloze 复习题4 口诀 资本强化
复习题5|总论：数字经济引起收入分配不平等的原因有哪些？	答：主要有五大原因：{{c1::数字鸿沟}}造成机会不平等；劳动力的{{c2::数字技能差距}}导致同工不同酬；{{c3::数字市场垄断}}使平台侵占过多利润；新业态下{{c4::劳动者权益保障困境}}；以及AI技术带来的对劳动者的{{c5::过度监督}}。	口诀：鸿技断权监，贫富一线牵。	第十三章 论述 Cloze 复习题5 口诀 总论
复习题5|分论Ⅰ(鸿沟与技能)：请夹叙夹议地阐述“数字鸿沟”与“技能差距”如何导致不平等。	“叙”：1. {{c1::数字鸿沟}}：城乡、地区间数字基础设施的差异，导致一些人无法接入数字经济，从起点就丧失了机会。2. {{c2::数字技能差距}}：不同劳动者掌握数字技能的差异，直接影响其劳动生产率和边际贡献，从而在劳动力市场中获得{{c3::截然不同的工资收入}}。
“议”：这两点说明，不平等在“{{c4::接入}}”和“{{c5::使用}}”两个层面就已产生。前者是“{{c6::路不通}}”，需要政府大力建设普惠的基础设施；后者是“{{c7::不会开}}”，需要普及数字教育和终身培训。两者共同构成了数字时代的“{{c8::能力贫困}}”，是政策干预最应着力的领域。	口诀：没网没机会，技差薪水低。	第十三章 论述 Cloze 复习题5 口诀 鸿沟与技能
复习题5|分论Ⅱ(垄断与权益)：请夹叙夹议地阐述“市场垄断”与“权益困境”如何导致不平等。	“叙”：1. {{c1::数字市场垄断}}：大型平台利用其市场优势地位，对商家收取高额佣金，并利用{{c2::买方势力}}压低劳动者工资。2. {{c3::权益保障困境}}：平台与骑手、主播等从业者之间是{{c4::非标准劳动关系}}，使后者难以被传统劳动法保护，缺乏议价能力。
“议”：这两点揭示了数字经济中{{c5::权力失衡}}的问题。平台作为新型的“{{c6::超级雇主}}”或“{{c7::市场组织者}}”，其权力远超单个劳动者或商家。因此，{{c8::反垄断}}和{{c9::完善新型劳动关系法规}}，是确保公平分配、防止“{{c10::赢者通吃}}”的关键制度保障。	口诀：平台搞垄断，骑手议价难。	第十三章 论述 Cloze 复习题5 口诀 垄断与权益
复习题6|总论：数字经济时代的就业与收入分配总体政策有哪些？	答：总体政策可归为三大支柱：一是“{{c1::教育与培训}}”政策，核心是提升劳动者技能，主动适应变革；二是“{{c2::权益保障}}”政策，核心是织密社会安全网，被动缓冲冲击；三是“{{c3::收入再分配}}”政策，核心是优化分配格局，实现结果公平。	口诀：育人、保安、再分钱。	第十三章 论述 Cloze 复习题6 口诀 总论
复习题6|分论Ⅰ(教育与培训)：请夹叙夹议地阐述“完善劳动者教育与技能培训政策”。	“叙”：该政策包括两方面：1. 改革{{c1::正规教育体系}}，建立以市场为导向的专业调整机制，增加数字技能课程。2. 建立政府、企业、学校、社会机构“{{c2::多元主体协同}}”的终身职业技能培训体系。
“议”：这是应对技术冲击最“{{c3::积极主动}}”的策略。它强调{{c4::投资于人}}，将劳动力从“{{c5::被替代的威胁}}”转变为“{{c6::驾驭技术的资本}}”。其本质是，既然无法阻止技术浪潮，那么最好的办法就是给每个人一块“{{c7::冲浪板}}”。这要求教育从一次性投资转向{{c8::终身、动态的供给}}。	口诀：大学跟市场，培训社会上。	第十三章 论述 Cloze 复习题6 口诀 教育培训
复习题6|分论Ⅱ(权益保障)：请夹叙夹议地阐述“完善劳动者权益保障政策”。	“叙”：该政策主要包括：1. 建设均衡普惠的{{c1::数字基础设施}}，弥合数字鸿沟。2. 建立激励相容的初次分配制度，如{{c2::强化反垄断}}。3. 完善法律法规，保护{{c3::新业态劳动者}}的合法权益，如最低工资、社会保障等。
“议”：这套政策是“{{c4::防守型}}”和“{{c5::兜底性}}”的策略。如果说教育是让人“{{c6::跑得更快}}”，那么权益保障就是确保“{{c7::摔倒了不会太疼}}”。它承认市场和技术会带来冲击，因此致力于构建一个{{c8::公平的竞争环境}}（反垄断、弥合鸿沟）和一张{{c9::坚实的社会安全网}}（社保、劳动法），保障所有人的基本尊严和机会。	口诀：基建要普惠，平台别太黑，社保要跟上。	第十三章 论述 Cloze 复习题6 口诀 权益保障
复习题6|分论Ⅲ(收入再分配)：请夹叙夹议地阐述“优化收入再分配政策”。	“叙”：该政策主要通过政府的“{{c1::看得见的手}}”来实现，手段包括：1. 完善{{c2::税收制度}}，如强化对平台和高收入群体的征管，探索对智能化技术征税。2. 完善{{c3::社会保障制度}}，通过转移支付等方式对弱势群体进行补助。3. 促进{{c4::数字公共服务均等化}}。
“议”：这是实现社会公平的“{{c5::最后一道防线}}”。它直接作用于{{c6::分配结果}}，是对初次分配不平等的“{{c7::纠偏}}”。探索对“{{c8::智能化技术}}”或“{{c9::机器人}}”征税，是一个极具前瞻性的想法，其逻辑是“{{c10::谁受益，谁补偿}}”，将技术进步的部分红利，转移给因技术而受损的群体，体现了社会的{{c11::风险共担}}精神。	口诀：税收调贫富，社保补弱势，服务均等化。	第十三章 论述 Cloze 复习题6 口诀 再分配
